perm_idx,state_idx,BIC
0,1,52994.419052056415
0,2,52623.081152085455
1,1,52994.419048847776
1,2,52616.54034048456
2,1,52994.41911118446
2,2,52631.6097918152
3,1,52994.419048789394
3,2,52634.416194790305
4,1,52994.41904880621
4,2,52623.366248766615
5,1,52994.41906470111
5,2,53048.18414016382
6,1,52994.4196034642
6,2,52622.99369877428
7,1,52994.41904932946
7,2,53048.41070713863
8,1,52994.41933423159
8,2,52620.03666441406
9,1,52994.41924465646
9,2,52630.70093601557
10,1,52994.41906944784
10,2,53048.41120585322
11,1,52994.4190604466
11,2,52631.70310580052
12,1,52994.41904882568
12,2,52601.527189248605
13,1,52994.419053640246
13,2,53048.39064962082
14,1,52994.42195742614
14,2,53048.40269493052
15,1,52994.419048875374
15,2,52628.5245474204
16,1,52994.41904878702
16,2,52633.41804479012
17,1,52994.41997156982
17,2,52626.22333203995
18,1,52994.4190487865
18,2,52628.428217472734
19,1,52994.41910056075
19,2,52616.49015980584
20,1,52994.41906329721
20,2,52623.96207687307
21,1,52994.41904879717
21,2,52617.9037410446
22,1,52994.41904880215
22,2,52596.01586070569
23,1,52994.41904974994
23,2,52608.56143368802
24,1,52994.41904889473
24,2,52618.29503004635
25,1,52994.4190488823
25,2,52597.349911462945
26,1,52994.41904878792
26,2,52625.293080231626
27,1,52994.41982215966
27,2,52629.9545312797
28,1,52994.42214708061
28,2,52628.39075566887
29,1,52994.42006238002
29,2,52636.136598993784
30,1,52994.419049312906
30,2,52623.78070660167
31,1,52994.41914817834
31,2,52614.925937550375
32,1,52994.41904878876
32,2,52605.435424423966
33,1,52994.419048806565
33,2,52620.221014411756
34,1,52994.419495875016
34,2,52631.712980637254
35,1,52994.41905360449
35,2,52616.877265139665
36,1,52994.42116819227
36,2,52627.58632781357
37,1,52994.41921250361
37,2,52619.587777801615
38,1,52994.419048790936
38,2,52622.38547533795
39,1,52994.41904947893
39,2,52624.022468131414
40,1,52994.41904879397
40,2,52613.24999424646
41,1,52994.41907127249
41,2,52627.95760253892
42,1,52994.419048794276
42,2,52627.18739113311
43,1,52994.42100739311
43,2,52604.97548850675
44,1,52994.41904957382
44,2,52623.560381221476
45,1,52994.41923679911
45,2,52612.6515364617
46,1,52994.41904881501
46,2,52634.537751265896
47,1,52994.419100659215
47,2,52619.63863911695
48,1,52994.41905697469
48,2,52621.391749430695
49,1,52994.419347840034
49,2,52620.57425710965
50,1,52994.41929146884
50,2,52634.03798169678
51,1,52994.41905486104
51,2,52604.52340294455
52,1,52994.41904879927
52,2,52631.88134146754
53,1,52994.41966850627
53,2,53048.415523444084
54,1,52994.419048790376
54,2,52627.92245985688
55,1,52994.41925784722
55,2,52622.96723152827
56,1,52994.419269123435
56,2,52616.88522787009
57,1,52994.419094155994
57,2,52621.878845289364
58,1,52994.41904879072
58,2,52629.929278077856
59,1,52994.41998895091
59,2,52620.82664394557
60,1,52994.419081384025
60,2,52626.02235635933
61,1,52994.41904881013
61,2,52632.66386217266
62,1,52994.4190497867
62,2,53048.381468140586
63,1,52994.4190488698
63,2,52634.86821640127
64,1,52994.41904879495
64,2,52629.83542067106
65,1,52994.41908314893
65,2,52635.66535620489
66,1,52994.4190488133
66,2,52621.3641711786
67,1,52994.419048802876
67,2,52629.684843674506
68,1,52994.4199859671
68,2,52639.74814992468
69,1,52994.41910333688
69,2,52628.88418765908
70,1,52994.419616498686
70,2,52607.48406620936
71,1,52994.42184173453
71,2,52629.97238069508
72,1,52994.41997978386
72,2,52634.0509520779
73,1,52994.41904930879
73,2,52623.195366674874
74,1,52994.41904878736
74,2,53048.39755989131
75,1,52994.4190645491
75,2,52630.782543467605
76,1,52994.419048802316
76,2,52624.56646083112
77,1,52994.41905136231
77,2,52633.84715264825
78,1,52994.42053341722
78,2,52614.53812603869
79,1,52994.419048790915
79,2,52633.64467397383
80,1,52994.419054754115
80,2,52637.17296680266
81,1,52994.41904878914
81,2,52628.00333804019
82,1,52994.41904881686
82,2,53048.40042054199
83,1,52994.41919747924
83,2,52628.21197388409
84,1,52994.419048798285
84,2,53048.41581780907
85,1,52994.419699351245
85,2,52626.09212582239
86,1,52994.41905096913
86,2,53048.32277180104
87,1,52994.41904880159
87,2,52627.970374717916
88,1,52994.41922448678
88,2,52634.72054486612
89,1,52994.419456913056
89,2,52624.778839757775
90,1,52994.4211612952
90,2,52621.228202013306
91,1,52994.41904878512
91,2,52632.25033529742
92,1,52994.419049360535
92,2,52627.03810762592
93,1,52994.41908621288
93,2,52607.52656100941
94,1,52994.41907024688
94,2,52615.78330787095
95,1,52994.41912495208
95,2,52617.98139799249
96,1,52994.419048823984
96,2,52633.21524821734
97,1,52994.41904881487
97,2,52619.1423540167
98,1,52994.419048784155
98,2,52628.33728819105
99,1,52994.41905273137
99,2,52635.27315586268
