contrast,previous_response
-1.0475814832378998,-0.4769198909034548
-1.0471001486018316,-0.47678532505917454
-1.0473895719313076,-0.4768184848449739
-1.047398145521576,-0.47672376455215465
-1.0472569753602678,-0.4767169616124451
-1.047544969722397,-0.47689611585127767
-1.0475816746352635,-0.47692011805399454
-1.0475818682515996,-0.4769203621473408
-1.0475669808363495,-0.47691150211734296
-1.0473146150088426,-0.4767007030136122
-1.0474239746931193,-0.47679791852399783
-1.0475805001295748,-0.4769189703646902
-1.0475812381979788,-0.476919704842866
-1.0475100727999043,-0.47686684956902997
-1.0475030907612588,-0.4768378909994599
-1.0475300861847523,-0.4769119007709951
-1.0474615740318862,-0.4768610017085139
-1.0475806032632518,-0.4769189867382581
-1.047489655153973,-0.47685200924373583
-1.0475808207094086,-0.4769210458942985
-1.0475814100183969,-0.4769200045698169
-1.0475621297515048,-0.47690583114434776
-1.0475800285662284,-0.47691852317321226
-1.0475813926259323,-0.47691987441731304
-1.0475526534998818,-0.47688962946424013
-1.0474088065301899,-0.4767373258180728
-1.0475782062892696,-0.4769165811800035
-1.047528871690913,-0.47690513242125543
-1.047617926220692,-0.47688085194606783
-1.0475814609709504,-0.47692092282212656
-1.0474251680954938,-0.4767537488806415
-1.0473991770352244,-0.4767425043062393
-1.0475167026374759,-0.4768522360861536
-1.0471684421686553,-0.4766805144775804
-1.0475814018377692,-0.47691989277686264
-1.047579641239077,-0.4769180322284477
-1.047347028939476,-0.47669428907189887
-1.0474579926073586,-0.4767886231373466
-1.047581265876119,-0.47691977581701106
-1.047575991427359,-0.4769142161442611
-1.04758200852441,-0.47692053583199717
-1.0475808544099372,-0.4769192474970456
-1.047581953718105,-0.47692039774203987
-1.0475814434735355,-0.4769199913705259
-1.0473567473524303,-0.47680136726230316
-1.0475765948573574,-0.4769150353703742
-1.0475796349557494,-0.4769179081723484
-1.04757259095628,-0.4769127327030902
-1.0474735432952667,-0.47680547403639606
-1.0475812846207269,-0.47691983701684526
