contrast_ext,previous_response_ext,contrast_int,previous_response_int,AA,AB,BA,BB
1.1978914580752646,0.04296051989083722,0.9994645789122336,1.4116758784420904,-0.022503569606828054,-3.805312017611758,-3.0716901573405337,-0.04745096147375263
1.1983429718254035,0.042921620247301354,0.9991586309154076,1.4107929639100563,-0.022540891872709145,-3.8036734782441872,-3.0692475876589334,-0.04756980974801778
1.1982891981926236,0.043684938470354914,0.9989579236747794,1.4108258315662925,-0.02249250281618837,-3.8057984052691776,-3.0701221123324873,-0.04752722295395545
1.1977608490509244,0.04312588598457023,0.9988490360316951,1.4101485089260168,-0.0475057572239794,-3.0705632177441933,-3.805197940057798,-0.02250616601340832
1.1982278918274336,0.04289188044228476,0.9989652624612281,1.4099744832762071,-0.022524485704442508,-3.804393411215511,-3.0705772719165054,-0.04750507346207593
1.1984534202147843,0.04334141944473912,0.9988184203481433,1.4101760104546306,-0.047504681487420465,-3.070585328731586,-3.8051772505335966,-0.022506636939695946
1.197919330652078,0.042730833982694484,0.9988264929233054,1.4096116391387772,-0.047490819293781135,-3.070870301980972,-3.8043824229701806,-0.022524736018927613
1.1979118503188597,0.043541856343022246,0.9994252196487355,1.4120219879415585,-0.04742271108173887,-3.072271680851571,-3.807093221147914,-0.022463068658449756
1.1985151742758993,0.04169143986116734,0.9992307669133793,1.4097746052158393,-0.02260823009082839,-3.8007240936508975,-3.0691083663495355,-0.04757659302317006
1.1976844795795123,0.04401996814765071,0.9996165751888612,1.412931989890008,-0.02244947301016319,-3.8076918764792094,-3.0713810943475637,-0.04746598275532522
